genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	source			1	5163189	+	5163189				
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.1	BVU_0001	244	1416	+	1173	dnaA	Chromosomal replication initiator protein DnaA	PLF_816_00000324	PGF_00876106
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.2	BVU_0002	1501	2241	-	741		Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)	PLF_816_00006038	PGF_00599432
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.3	BVU_0003	2585	5131	+	2547		Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	PLF_816_00000255	PGF_08854233
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.4	BVU_0004	5224	8229	-	3006		Outer membrane assembly protein	PLF_816_00007609	PGF_06960416
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.5	BVU_0005	8373	8726	+	354		Dihydroneopterin aldolase (EC 4.1.2.25)	PLF_816_00008280	PGF_01979294
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.6	BVU_0006	8873	9754	-	882		Radical SAM domain protein	PLF_816_00009081	PGF_00046948
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.7	BVU_0007	9842	10858	-	1017		Glycosyltransferase	PLF_816_00000138	PGF_04305571
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.8	BVU_0008	10903	12219	-	1317		tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)	PLF_816_00000403	PGF_00413298
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.9	BVU_0009	12325	13998	+	1674		Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	PLF_816_00000706	PGF_00734739
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.10		14159	14359	+	201		hypothetical protein	PLF_816_00000758	PGF_08225224
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.11	BVU_0010	14514	15206	+	693		hypothetical protein	PLF_816_00010880	PGF_00852696
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.12	BVU_0011	15276	15719	-	444	rplI	LSU ribosomal protein L9p	PLF_816_00000504	PGF_00016452
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.13	BVU_0012	15735	16004	-	270	rpsR	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent	PLF_816_00000520	PGF_00049858
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.14	BVU_0013	16007	16351	-	345	rpsF	SSU ribosomal protein S6p	PLF_816_00000590	PGF_00049901
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.15		16470	16604	-	135		hypothetical protein	PLF_816_00010175	PGF_00852489
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.16	BVU_0014	16561	17007	+	447		Transcriptional regulator, MarR family	PLF_816_00000693	PGF_10423881
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.17		17116	17298	+	183		hypothetical protein	PLF_816_00009254	PGF_10492357
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.18	BVU_0015	17374	18072	-	699		Two-component transcriptional response regulator RprY, OmpR family	PLF_816_00000524	PGF_10535770
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.19	BVU_0016	18074	19543	-	1470		Two-component system sensor histidine kinase	PLF_816_00009033	PGF_02620852
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.20	BVU_0017	19905	21758	-	1854		Elongation factor G-like protein TM_1651	PLF_816_00000426	PGF_00060412
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.21	BVU_0018	22244	23380	+	1137		Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW	PLF_816_00151893	PGF_04991657
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.22	BVU_0019	23753	24994	+	1242		TonB-dependent receptor	PLF_816_00010282	PGF_10537966
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.23	BVU_0020	25013	25882	-	870		Mobile element protein	PLF_816_00002066	PGF_01000105
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.24	BVU_0021	25976	27442	+	1467		TonB-dependent receptor	PLF_816_00010282	PGF_10537966
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.25	BVU_0022	27449	28435	+	987		hypothetical protein	PLF_816_00012891	PGF_00220663
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.26	BVU_0023	28488	29114	+	627		RNA polymerase ECF-type sigma factor	PLF_816_00013246	PGF_00896280
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.27	BVU_0024	29431	29577	+	147		hypothetical protein	PLF_816_00013831	PGF_07557634
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.28	BVU_0025	29604	30494	+	891		Putative anti-sigma factor	PLF_816_00123770	PGF_10251367
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.29	BVU_0026	30502	33177	+	2676		TonB-dependent receptor	PLF_816_00013363	PGF_10537966
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.30	BVU_0027	33184	34215	+	1032		hypothetical protein	PLF_816_00014414	PGF_00220663
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.31	BVU_0028	34247	36184	-	1938		Sialic acid-specific 9-O-acetylesterase	PLF_816_00008747	PGF_02987679
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.32	BVU_0029	36212	38074	-	1863		Xylan alpha-1,2-glucuronosidase (EC 3.2.1.131)	PLF_816_00003314	PGF_00067000
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.33		38055	38300	+	246		hypothetical protein	PLF_816_00027153	PGF_00860396
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.34	BVU_0030	38254	40830	-	2577		hypothetical protein	PLF_816_00004387	PGF_08225224
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.35	BVU_0031	40861	42444	-	1584		Possible beta-xylosidase, family 43 of glycosyl hydrolases	PLF_816_00007988	PGF_00035149
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.36	BVU_0032	42453	44960	-	2508		Endo-1,4-beta-xylanase (EC 3.2.1.8)	PLF_816_00003923	PGF_00186174
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.37	BVU_0033	45332	49249	+	3918		Periplasmic ligand-binding sensor domain COG3292 / BaeS-type histidine kinase / OmpR-type DNA-binding response regulator	PLF_816_00044115	PGF_10106483
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.38	BVU_0034	49721	51334	-	1614		Mobile element protein	PLF_816_00004755	PGF_00667479
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.39	BVU_0035	51403	51576	-	174		hypothetical protein	PLF_816_00122415	PGF_00879698
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.40	BVU_0037	52180	54114	-	1935		Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	PLF_816_00071201	PGF_04922998
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.41	BVU_0038	54129	57116	-	2988		Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	PLF_816_00016336	PGF_02755714
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.42	BVU_0039	57242	58978	-	1737		Xylan 1,4-beta-xylosidase (EC 3.2.1.37)	PLF_816_00004335	PGF_00917167
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.43	BVU_0040	59328	60278	-	951		Xylosidase/arabinosidase	PLF_816_00003740	PGF_00067114
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.44	BVU_0041	60312	61433	-	1122		Endo-1,4-beta-xylanase (EC 3.2.1.8)	PLF_816_00006451	PGF_00186174
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.45	BVU_0042	61646	62611	+	966		IS110 family transposase	PLF_816_00017546	PGF_00013630
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.46	BVU_0043	62782	64248	-	1467		sugar (Glycoside-Pentoside-Hexuronide) transporter	PLF_816_00008871	PGF_00412936
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.47	BVU_0044	64603	65361	-	759		Keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103)	PLF_816_00009367	PGF_00401808
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.48	BVU_0045	65546	66415	+	870		Mobile element protein	PLF_816_00002066	PGF_01000105
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.49	BVU_0046	66523	67911	-	1389		Phosphomannomutase (EC 5.4.2.8) / Phosphoglucosamine mutase (EC 5.4.2.10)	PLF_816_00000251	PGF_00033817
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.50	BVU_0047	67908	68543	-	636		FIG01416087: hypothetical protein	PLF_816_00006955	PGF_00002460
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.51	BVU_0048	68626	69666	-	1041		3'-to-5' oligoribonuclease A, Bacillus type	PLF_816_00006997	PGF_01833449
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.52	BVU_0049	69716	71635	-	1920		DNA internalization-related competence protein ComEC/Rec2	PLF_816_00008965	PGF_06887246
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.53	BVU_0050	71682	72335	-	654		Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	PLF_816_00000351	PGF_10245672
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.54	BVU_0051	72411	73706	-	1296		RNA polymerase ECF-type sigma factor	PLF_816_00115659	PGF_00896280
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.55	BVU_0052	73709	74251	-	543		RNA polymerase ECF-type sigma factor	PLF_816_00007018	PGF_00896280
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.56	BVU_0053	74409	75191	+	783		hypothetical protein	PLF_816_00009193	PGF_08029823
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.57	BVU_0054	75264	76238	-	975	fmt	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	PLF_816_00000109	PGF_05165078
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.58	BVU_0055	76252	78054	-	1803		Chloride channel protein	PLF_816_00004560	PGF_08147022
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.59	BVU_0056	78063	78638	-	576		Threonylcarbamoyl-AMP synthase (EC 2.7.7.87)	PLF_816_00000528	PGF_01898991
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.60	BVU_0057	78805	79968	-	1164		N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	PLF_816_00009023	PGF_04282519
435590.9	Bacteroides vulgatus ATCC 8482	NC_009614	PATRIC	CDS	fig|435590.9.peg.61	BVU_0058	80059	83235	-	3177		RND efflux system, inner membrane transporter	PLF_816_00011726	PGF_05237064
