Family ID,Proteins,Genomes,Description,Min AA Length,Max AA Length,Mean,Std Dev
PGF_00042063,2,2,"Putative membrane-spanning protein",60,61,60.5,0.5
PGF_10406880,52,50,"DNA polymerase III alpha subunit (EC 2.7.7.7)",878,1268,1154.7884615384614,79.62154147505503
PGF_00013509,30,29,"IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)",165,549,485.8,88.26377135231269
PGF_02019737,1,1,"hypothetical protein",48,48,48,0
PGF_02042072,1,1,"hypothetical protein",62,62,62,0
PGF_00422375,24,16,"DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)",64,339,277.4166666666667,57.49631630712431
PGF_02036403,1,1,"hypothetical protein",77,77,77,0
PGF_06672158,42,26,"Nitroreductase family protein",113,269,185.07142857142858,29.87943460383576
PGF_00404246,4,4,"probable glucanotransferase (endo alpha-1,4 polygalactosaminidase related protein)",260,283,271,10.559356040971437
PGF_02013726,1,1,"HNH endonuclease family protein",183,183,183,0
PGF_06097826,18,17,"CRISPR-associated helicase Cas3",704,1017,811.7777777777778,86.76568417650658
PGF_00416014,5,5,"CRISPR-associated protein Cas5",246,253,248.2,2.6381811916545836
PGF_02226212,6,6,"CRISPR-associated protein, Csd1 family",343,659,585.8333333333334,110.61406882590578
PGF_04869432,10,10,"CRISPR-associated protein, Csd2/Csh2 family",281,303,292,7.05691150575094
PGF_00415934,10,10,"CRISPR-associated RecB family exonuclease Cas4",218,225,220.7,1.9000000000000001
PGF_00415964,28,22,"CRISPR-associated protein Cas1",118,359,312.64285714285717,50.394312523278636
PGF_10548544,11,11,"CRISPR-associated protein Cas2",96,106,96.9090909090909,2.874797872880345
PGF_02010514,2,1,"hypothetical protein",107,127,117,10
PGF_02013990,1,1,"hypothetical protein",38,38,38,0
PGF_07750515,49,49,"Phosphoribosylamine--glycine ligase (EC 6.3.4.13)",377,450,422.46938775510205,9.07137691957472
PGF_02013802,1,1,"hypothetical protein",92,92,92,0
PGF_00035836,16,14,"Predicted esterase of the alpha-beta hydrolase superfamily",276,328,288.625,11.510185706581801
PGF_02154745,34,32,"DNA polymerase III polC-type (EC 2.7.7.7)",82,1605,1398.9411764705883,307.89827781423014
PGF_01682834,42,42,"Bacterial ribosome SSU maturation protein RimP",140,169,156.1904761904762,4.227112575461361
PGF_07063065,51,50,"Transcription termination protein NusA",58,536,391.7450980392157,58.75533956119369
PGF_00415631,30,30,"COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination",84,100,93.1,4.541292033478285
PGF_00411944,25,25,"Ribosomal protein L7Ae family protein YlxQ",51,132,102.64,12.38347285699775
PGF_10525419,50,50,"Translation initiation factor 2",615,1132,908.4,96.71545895046975
PGF_09452281,48,48,"Ribosome-binding factor A",100,217,128.52083333333334,24.231513213971777
PGF_00413295,50,50,"tRNA pseudouridine(55) synthase (EC 5.4.99.25)",233,430,299.24,42.839495795352214
