Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.86",,,"PATRIC.562.123410.562.123410.con.0001.CDS.100365.101900.fwd","PATRIC","CDS",100365,101900,1536,"+",,"PLF_561_00002104","PGF_10048015",,511,,"Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain","GO:0003938|IMP dehydrogenase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.87",,,"PATRIC.562.123410.562.123410.con.0001.CDS.101969.103546.fwd","PATRIC","CDS",101969,103546,1578,"+",,"PLF_561_00001843","PGF_00006935",,525,,"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)","GO:0003922|GMP synthase (glutamine-hydrolyzing) activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.13",,,"PATRIC.562.123410.562.123410.con.0001.CDS.10234.11271.fwd","PATRIC","CDS",10234,11271,1038,"+",,"PLF_561_00001927","PGF_00065856",,345,,"Uncharacterized tRNA/rRNA methyltransferase YfiF",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.88",,,"PATRIC.562.123410.562.123410.con.0001.CDS.103640.104179.rev","PATRIC","CDS",103640,104179,540,"-",,"PLF_561_00003160","PGF_00065555",,179,,"Uncharacterized protein YfgI",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.89",,,"PATRIC.562.123410.562.123410.con.0001.CDS.104195.104710.rev","PATRIC","CDS",104195,104710,516,"-",,"PLF_561_00000414","PGF_00064779",,171,,"Uncharacterized lipoprotein YfgH",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.90",,,"PATRIC.562.123410.562.123410.con.0001.CDS.105024.105215.rev","PATRIC","CDS",105024,105215,192,"-",,"PLF_561_00003191","PGF_00065554",,63,,"Uncharacterized protein YfgG",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.91",,,"PATRIC.562.123410.562.123410.con.0001.CDS.105233.105385.fwd","PATRIC","CDS",105233,105385,153,"+",,"PLF_561_00003290","PGF_00045665",,50,,"Putative uncharacterized protein YoeF",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.92",,,"PATRIC.562.123410.562.123410.con.0001.CDS.105567.107810.fwd","PATRIC","CDS",105567,107810,2244,"+",,"PLF_561_00000267","PGF_00419906",,747,,"c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeF","GO:0071111|cyclic-guanylate-specific phosphodiesterase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.93",,,"PATRIC.562.123410.562.123410.con.0001.CDS.107849.109390.rev","PATRIC","CDS",107849,109390,1542,"-",,"PLF_561_00002563","PGF_05471309",,513,,"Exopolyphosphatase (EC 3.6.1.11)","GO:0004309|exopolyphosphatase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.94",,,"PATRIC.562.123410.562.123410.con.0001.CDS.109395.111461.rev","PATRIC","CDS",109395,111461,2067,"-",,"PLF_561_00000489","PGF_05195470",,688,,"Polyphosphate kinase (EC 2.7.4.1)","GO:0008976|polyphosphate kinase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.95",,,"PATRIC.562.123410.562.123410.con.0001.CDS.111633.112271.rev","PATRIC","CDS",111633,112271,639,"-",,"PLF_561_00003019","PGF_00033968",,212,,"Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)","GO:0004644|phosphoribosylglycinamide formyltransferase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.96",,,"PATRIC.562.123410.562.123410.con.0001.CDS.112271.113308.rev","PATRIC","CDS",112271,113308,1038,"-",,"PLF_561_00002587","PGF_00033954",,345,,"Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)","GO:0004641|phosphoribosylformylglycinamidine cyclo-ligase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.14",,,"PATRIC.562.123410.562.123410.con.0001.CDS.11319.12008.rev","PATRIC","CDS",11319,12008,690,"-",,"PLF_561_00002366","PGF_00066139",,229,,"Uracil-DNA glycosylase, family 1 (EC 3.2.2.27)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.97",,,"PATRIC.562.123410.562.123410.con.0001.CDS.113632.114258.fwd","PATRIC","CDS",113632,114258,627,"+",,"PLF_561_00002152","PGF_00403095",,208,,"Uracil phosphoribosyltransferase (EC 2.4.2.9)","GO:0004845|uracil phosphoribosyltransferase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.98",,,"PATRIC.562.123410.562.123410.con.0001.CDS.114344.115633.fwd","PATRIC","CDS",114344,115633,1290,"+",,"PLF_561_00001166","PGF_00066935",,429,,"Uracil permease @ Uracil:proton symporter UraA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.99",,,"PATRIC.562.123410.562.123410.con.0001.CDS.115683.116429.fwd","PATRIC","CDS",115683,116429,747,"+",,"PLF_561_00045168","PGF_04275878",,248,,"DnaA inactivator Hda (shorter homolog of DnaA)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.1",,,"PATRIC.562.123410.562.123410.con.0001.CDS.116.358.fwd","PATRIC","CDS",116,358,243,"+",,"PLF_561_00013644","PGF_01625919",,80,,"Mobile element protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.100",,,"PATRIC.562.123410.562.123410.con.0001.CDS.116567.116926.rev","PATRIC","CDS",116567,116926,360,"-",,"PLF_561_00002795","PGF_09375481",,119,,"Uncharacterized protein YfgD, not an arsenate reductase",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.101",,,"PATRIC.562.123410.562.123410.con.0001.CDS.116947.118410.rev","PATRIC","CDS",116947,118410,1464,"-",,"PLF_561_00001342","PGF_00425212",,487,,"Exported zinc metalloprotease YfgC precursor",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.102",,,"PATRIC.562.123410.562.123410.con.0001.CDS.118623.119684.fwd","PATRIC","CDS",118623,119684,1062,"+",,"PLF_561_00002217","PGF_00043154",,353,,"Putative permease PerM (= YfgO)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.103",,,"PATRIC.562.123410.562.123410.con.0001.CDS.119783.120253.rev","PATRIC","CDS",119783,120253,471,"-",,"PLF_561_00002352","PGF_00220548",,156,,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)","GO:0051920|peroxiredoxin activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.104",,,"PATRIC.562.123410.562.123410.con.0001.CDS.120253.120825.rev","PATRIC","CDS",120253,120825,573,"-",,"PLF_561_00002303","PGF_12918557",,190,,"Glycine cleavage system transcriptional antiactivator GcvR",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.105",,,"PATRIC.562.123410.562.123410.con.0001.CDS.120971.121849.fwd","PATRIC","CDS",120971,121849,879,"+",,"PLF_561_00001701","PGF_00549380",,292,,"4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)","GO:0008840|4-hydroxy-tetrahydrodipicolinate synthase"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.106",,,"PATRIC.562.123410.562.123410.con.0001.CDS.121866.122900.fwd","PATRIC","CDS",121866,122900,1035,"+",,"PLF_561_00001644","PGF_00993530",,344,,"Outer membrane beta-barrel assembly protein BamC",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.107",,,"PATRIC.562.123410.562.123410.con.0001.CDS.123113.123826.fwd","PATRIC","CDS",123113,123826,714,"+",,"PLF_561_00002118","PGF_00033936",,237,,"Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)","GO:0004639|phosphoribosylaminoimidazolesuccinocarboxamide synthase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.15",,,"PATRIC.562.123410.562.123410.con.0001.CDS.12313.12696.fwd","PATRIC","CDS",12313,12696,384,"+",,"PLF_561_00003265","PGF_00068794",,127,,"Autonomous glycyl radical cofactor",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.108",,,"PATRIC.562.123410.562.123410.con.0001.CDS.123994.124857.fwd","PATRIC","CDS",123994,124857,864,"+",,"PLF_561_00001689","PGF_00405499",,287,,"YpfJ protein, zinc metalloprotease superfamily",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.109",,,"PATRIC.562.123410.562.123410.con.0001.CDS.124872.126887.fwd","PATRIC","CDS",124872,126887,2016,"+",,"PLF_561_00000947","PGF_01956528",,671,,"tRNA cytosine(34) acetyltransferase (EC 2.3.1.193)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.110",,,"PATRIC.562.123410.562.123410.con.0001.CDS.126961.127659.fwd","PATRIC","CDS",126961,127659,699,"+",,"PLF_561_00002081","PGF_00424798",,232,,"Esterase YpfH",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.16",,,"PATRIC.562.123410.562.123410.con.0001.CDS.12752.13339.rev","PATRIC","CDS",12752,13339,588,"-",,"PLF_561_00003110","PGF_00420082",,195,,"Cysteine/O-acetylserine efflux protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.111",,,"PATRIC.562.123410.562.123410.con.0001.CDS.127740.127940.rev","PATRIC","CDS",127740,127940,201,"-",,"PLF_561_00003003","PGF_00064342",,66,,"UPF0370 protein YpfN",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.112",,,"PATRIC.562.123410.562.123410.con.0001.CDS.127968.129095.rev","PATRIC","CDS",127968,129095,1128,"-",,"PLF_561_00002417","PGF_00024234",,375,,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)","GO:0009014|succinyl-diaminopimelate desuccinylase activity"
