genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	source			1	334673	+	334673				
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.1	UUU_00080	157	618	-	462		Uncharacterized N-acetyltransferase YjaB	PLF_570_00002472	PGF_00064590
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.2	UUU_00090	775	1704	+	930		Homoserine O-succinyltransferase (EC 2.3.1.46)	PLF_570_00001737	PGF_00012336
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.3	UUU_00100	1965	3566	+	1602		Malate synthase (EC 2.3.3.9)	PLF_570_00001143	PGF_00018964
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.4	UUU_00110	3631	4950	+	1320		Isocitrate lyase (EC 4.1.3.1)	PLF_570_00000470	PGF_05837052
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.5	UUU_00120	5053	6837	+	1785		Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)	PLF_570_00000220	PGF_00015707
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.6	UUU_00130	6888	7781	-	894		Acetate operon repressor IclR	PLF_570_00002000	PGF_00024602
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.7	UUU_00140	7913	11596	+	3684		5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	PLF_570_00000357	PGF_00426722
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.8	UUU_00150	11726	13357	+	1632		Sodium-dependent phosphate transporter	PLF_570_00000426	PGF_07501301
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.9		13470	14159	-	690		Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	PLF_570_00005564	PGF_08108734
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.10	UUU_00160	14358	15233	+	876		LSU rRNA pseudouridine(2604) synthase (EC 5.4.99.21)	PLF_570_00000765	PGF_00048836
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.11	UUU_00170	15230	15502	-	273		Uncharacterized protein YjbD	PLF_570_00002267	PGF_00092793
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.12	UUU_00180	15619	16548	-	930		Sodium-dependent transporter	PLF_570_00001887	PGF_05722389
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.13	UUU_00190	16687	18036	-	1350		Aspartokinase (EC 2.7.2.4)	PLF_570_00000315	PGF_00862519
1162296.3	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	AJJI01000001	PATRIC	CDS	fig|1162296.3.peg.14	UUU_00210	18801	20450	+	1650		Glucose-6-phosphate isomerase (EC 5.3.1.9)	PLF_570_00001396	PGF_10505717
