genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	source					1	4878012	+	4878012								
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.1	SL1344_0002	VBISalEnt88447_0001	E1W7M5	337	2799	+	2463	thrA	Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)	FIG01290007	PLF_590_00000668	PGF_04992191	GO:0004072|aspartate kinase activity;GO:0004412|homoserine dehydrogenase activity	1.1.1.3|Homoserine dehydrogenase;2.7.2.4|Aspartate kinase	00260|Glycine, serine and threonine metabolism;00260|Glycine, serine and threonine metabolism;00270|Cysteine and methionine metabolism;00270|Cysteine and methionine metabolism;00300|Lysine biosynthesis;00300|Lysine biosynthesis
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.2	SL1344_0003	VBISalEnt88447_0002	E1W7M6	2804	3730	+	927	thrB	Homoserine kinase (EC 2.7.1.39)	FIG00000582	PLF_590_00000679	PGF_00012356	GO:0004413|homoserine kinase activity	2.7.1.39|Homoserine kinase	00260|Glycine, serine and threonine metabolism
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.3	SL1344_0004	VBISalEnt88447_0003	E1W7M7	3734	5020	+	1287	thrC	Threonine synthase (EC 4.2.3.1)	FIG00000134	PLF_590_00000226	PGF_03316046	GO:0004795|threonine synthase activity	4.2.3.1|Threonine synthase	00260|Glycine, serine and threonine metabolism;00750|Vitamin B6 metabolism
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.4	SL1344_0005	VBISalEnt88447_0004	E1W7M8	5114	5887	-	774		UPF0246 protein YaaA	FIG00002158	PLF_590_00000656	PGF_00064270			
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.5	SL1344_0006	VBISalEnt88447_0005	E1W7M9	5966	7423	-	1458	yaaJ	Putative alanine/glycine transport protein	FIG01308486	PLF_590_00000730	PGF_00040088			
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.6	SL1344_0007	VBISalEnt88447_0006	E1W7N0	7665	8618	+	954	talB	Transaldolase (EC 2.2.1.2)	FIG00000023	PLF_590_00001959	PGF_00057399	GO:0004801|transaldolase activity	2.2.1.2|Transaldolase	00030|Pentose phosphate pathway
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.7	SL1344_0008	VBISalEnt88447_0007	E1W7N1	8729	9319	+	591	mog	Molybdopterin adenylyltransferase (EC 2.7.7.75)	FIG00002951	PLF_590_00002769	PGF_00022507	GO:0061598|molybdopterin adenylyltransferase activity	2.7.7.75|Molybdopterin adenylyltransferase	
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.8	SL1344_0009	VBISalEnt88447_0008	E1W7N2	9376	9942	-	567		Succinate-acetate/proton symporter SatP	FIG00904540	PLF_590_00002100	PGF_00043742			
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.9	SL1344_0010	VBISalEnt88447_0009	E1W7N3	10092	10805	-	714		UPF0174 protein YaaW	FIG00553873	PLF_590_00001613	PGF_00064226			
216597.6	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	FQ312003	PATRIC	CDS	fig|216597.6.peg.10	SL1344_0011	VBISalEnt88447_0010	E1W7N4	10841	11236	-	396		UPF0412 protein YaaI	FIG00638536	PLF_590_00002894	PGF_00064366			
